Date,Description,Size,Symbol,Expiration,Strike,Type,Trade Price,Profit/Loss,Stock Price,Adjusted Stock Price
4-Feb-2019,Close 2DaysAfterEarnings:Short Calls,1,AMZN,15-Mar-19,1820,Call, $8.55, $3196, $1633.31, $81.67
9-Apr-2019,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,21-Jun-19,1920,Call, $57.55, , $1835.84, $91.79
9-Apr-2019,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,21-Jun-19,1975,Call, $39.62, , $1835.84, $91.79
29-Apr-2019,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,21-Jun-19,1920,Call, $74.78, $1722, $1938.43, $96.92
29-Apr-2019,Close 2DaysAfterEarnings:Short Calls,1,AMZN,21-Jun-19,1975,Call, $47.03,-$742, $1938.43, $96.92
9-Jul-2019,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,20-Sep-19,2065,Call, $56.72, , $1988.30, $99.42
9-Jul-2019,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,20-Sep-19,2120,Call, $37.90, , $1988.30, $99.42
29-Jul-2019,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,20-Sep-19,2065,Call, $15.52,-$4121, $1912.45, $95.62
29-Jul-2019,Close 2DaysAfterEarnings:Short Calls,1,AMZN,20-Sep-19,2120,Call, $8.40, $2949, $1912.45, $95.62
8-Oct-2019,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,20-Dec-19,1780,Call, $55.68, , $1705.51, $85.28
8-Oct-2019,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,20-Dec-19,1835,Call, $36.52, , $1705.51, $85.28
28-Oct-2019,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,20-Dec-19,1780,Call, $53.45,-$224, $1777.08, $88.85
28-Oct-2019,Close 2DaysAfterEarnings:Short Calls,1,AMZN,20-Dec-19,1835,Call, $29.48, $703, $1777.08, $88.85
14-Jan-2020,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,20-Mar-20,1935,Call, $52.38, , $1869.44, $93.47
14-Jan-2020,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,20-Mar-20,1990,Call, $34.78, , $1869.44, $93.47
3-Feb-2020,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,20-Mar-20,1935,Call, $111.05, $5866, $2004.20, $100.21
3-Feb-2020,Close 2DaysAfterEarnings:Short Calls,1,AMZN,20-Mar-20,1990,Call, $77.12,-$4235, $2004.20, $100.21
14-Apr-2020,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,19-Jun-20,2400,Call, $96.72, , $2283.32, $114.17
14-Apr-2020,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,19-Jun-20,2500,Call, $65.30, , $2283.32, $114.17
4-May-2020,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,19-Jun-20,2400,Call, $77.35,-$1938, $2315.99, $115.80
4-May-2020,Close 2DaysAfterEarnings:Short Calls,1,AMZN,19-Jun-20,2500,Call, $45.48, $1981, $2315.99, $115.80
14-Jul-2020,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,18-Sep-20,3340,Call, $175.62, , $3084, $154.20
14-Jul-2020,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,18-Sep-20,3560,Call, $119.38, , $3084, $154.20
3-Aug-2020,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,18-Sep-20,3340,Call, $75.90,-$9973, $3111.89, $155.59
3-Aug-2020,Close 2DaysAfterEarnings:Short Calls,1,AMZN,18-Sep-20,3560,Call, $37.08, $8229, $3111.89, $155.59
13-Oct-2020,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,18-Dec-20,3690,Call, $171.05, , $3443.63, $172.18
13-Oct-2020,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,18-Dec-20,3900,Call, $112.10, , $3443.63, $172.18
2-Nov-2020,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,18-Dec-20,3690,Call, $19.45,-$15161, $3004.48, $150.22
2-Nov-2020,Close 2DaysAfterEarnings:Short Calls,1,AMZN,18-Dec-20,3900,Call, $9.27, $10282, $3004.48, $150.22
19-Jan-2021,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,19-Mar-21,3270,Call, $118.70, , $3120.76, $156.04
19-Jan-2021,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,19-Mar-21,3400,Call, $79.47, , $3120.76, $156.04
4-Feb-2021,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,19-Mar-21,3270,Call, $172.12, $5341, $3331, $166.55
4-Feb-2021,Close 2DaysAfterEarnings:Short Calls,1,AMZN,19-Mar-21,3400,Call, $109.18,-$2972, $3331, $166.55
13-Apr-2021,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,18-Jun-21,3500,Call, $113.52, , $3400, $170
13-Apr-2021,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,18-Jun-21,3650,Call, $65.92, , $3400, $170
3-May-2021,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,18-Jun-21,3500,Call, $72.47,-$4106, $3386.49, $169.32
3-May-2021,Close 2DaysAfterEarnings:Short Calls,1,AMZN,18-Jun-21,3650,Call, $33.53, $3238, $3386.49, $169.32
13-Jul-2021,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,17-Sep-21,3800,Call, $122.85, , $3677.36, $183.87
13-Jul-2021,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,17-Sep-21,3950,Call, $76.30, , $3677.36, $183.87
2-Aug-2021,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,17-Sep-21,3800,Call, $9.15,-$11371, $3331.48, $166.57
2-Aug-2021,Close 2DaysAfterEarnings:Short Calls,1,AMZN,17-Sep-21,3950,Call, $5.38, $7091, $3331.48, $166.57
12-Oct-2021,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,17-Dec-21,3360,Call, $99.48, , $3247.33, $162.37
12-Oct-2021,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,17-Dec-21,3460,Call, $65, , $3247.33, $162.37
1-Nov-2021,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,17-Dec-21,3360,Call, $85.62,-$1387, $3318.11, $165.91
1-Nov-2021,Close 2DaysAfterEarnings:Short Calls,1,AMZN,17-Dec-21,3460,Call, $50.35, $1464, $3318.11, $165.91
18-Jan-2022,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,18-Mar-22,3305,Call, $105.05, , $3178.35, $158.92
18-Jan-2022,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,18-Mar-22,3420,Call, $67.75, , $3178.35, $158.92
7-Feb-2022,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,18-Mar-22,3305,Call, $67.12,-$3794, $3158.71, $157.94
7-Feb-2022,Close 2DaysAfterEarnings:Short Calls,1,AMZN,18-Mar-22,3420,Call, $36.97, $3077, $3158.71, $157.94
12-Apr-2022,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,17-Jun-22,3180,Call, $119.70, , $3015.75, $150.79
12-Apr-2022,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,17-Jun-22,3300,Call, $80.90, , $3015.75, $150.79
2-May-2022,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,17-Jun-22,3180,Call, $7.28,-$11243, $2490, $124.50
2-May-2022,Close 2DaysAfterEarnings:Short Calls,1,AMZN,17-Jun-22,3300,Call, $4.85, $7604, $2490, $124.50
12-Jul-2022,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,16-Sep-22,117,Call, $5.28, , $109.22, $109.22
12-Jul-2022,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,16-Sep-22,123,Call, $3.35, , $109.22, $109.22
1-Aug-2022,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,16-Sep-22,117,Call, $20.35, $1506, $135.39, $135.39
1-Aug-2022,Close 2DaysAfterEarnings:Short Calls,1,AMZN,16-Sep-22,123,Call, $15.38,-$1204, $135.39, $135.39
11-Oct-2022,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,16-Dec-22,121,Call, $5.70, , $112.21, $112.21
11-Oct-2022,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,16-Dec-22,127,Call, $3.75, , $112.21, $112.21
31-Oct-2022,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,16-Dec-22,121,Call, $0.90,-$481, $102.44, $102.44
31-Oct-2022,Close 2DaysAfterEarnings:Short Calls,1,AMZN,16-Dec-22,127,Call, $0.46, $328, $102.44, $102.44
17-Jan-2023,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,17-Mar-23,100,Call, $5.20, , $96.05, $96.05
17-Jan-2023,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,17-Mar-23,105,Call, $3.35, , $96.05, $96.05
6-Feb-2023,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,17-Mar-23,100,Call, $6.45, $124, $102.18, $102.18
6-Feb-2023,Close 2DaysAfterEarnings:Short Calls,1,AMZN,17-Mar-23,105,Call, $3.92,-$58, $102.18, $102.18
11-Apr-2023,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,16-Jun-23,105,Call, $4.72, , $99.92, $99.92
11-Apr-2023,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,16-Jun-23,110,Call, $2.98, , $99.92, $99.92
1-May-2023,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,16-Jun-23,105,Call, $3.58,-$115, $102.05, $102.05
1-May-2023,Close 2DaysAfterEarnings:Short Calls,1,AMZN,16-Jun-23,110,Call, $1.79, $118, $102.05, $102.05
18-Jul-2023,Open 16DaysBeforeEarnings:Long Calls,1,AMZN,15-Sep-23,140,Call, $4.93, , $132.83, $132.83
18-Jul-2023,Open 16DaysBeforeEarnings:Short Calls,-1,AMZN,15-Sep-23,145,Call, $3.40, , $132.83, $132.83
7-Aug-2023,Close 2DaysAfterEarnings:Long Calls,-1,AMZN,15-Sep-23,140,Call, $7.12, $218, $142.22, $142.22
7-Aug-2023,Close 2DaysAfterEarnings:Short Calls,1,AMZN,15-Sep-23,145,Call, $4.47,-$108, $142.22, $142.22
